1968-560,US Open,Grass,96,25330
1968-540,Wimbledon,Grass,128,25412
1968-520,Roland Garros,Clay,128,25289
1969-580,Australian Open,Grass,64,25171
1969-540,Wimbledon,Grass,128,25413
1969-560,US Open,Grass,128,25331
1969-520,Roland Garros,Clay,128,25290
1970-580,Australian Open,Grass,64,25172
1970-520,Roland Garros,Clay,128,25291
1970-560,US Open,Grass,128,25332
1970-540,Wimbledon,Grass,128,25414
1971-580,Australian Open,Grass,64,25173
1971-560,US Open,Grass,128,25333
1971-520,Roland Garros,Clay,128,25292
1971-540,Wimbledon,Grass,128,25415
1972-580,Australian Open,Grass,64,25174
1972-560,US Open,Grass,128,25334
1972-520,Roland Garros,Clay,64,25293
1972-540,Wimbledon,Grass,128,25416
1973-580,Australian Open,Grass,64,25175
1973-540,Wimbledon,Grass,128,25417
1973-560,US Open,Grass,128,25335
1973-520,Roland Garros,Clay,128,25294
1974-560,US Open,Grass,128,25336
1974-520,Roland Garros,Clay,128,25295
1974-580,Australian Open,Grass,64,25176
1974-540,Wimbledon,Grass,128,25418
1975-580,Australian Open,Grass,32,25177
1975-520,Roland Garros,Clay,128,25296
1975-560,US Open,Clay,128,25337
1975-540,Wimbledon,Grass,128,25419
1976-560,US Open,Clay,128,25338
1976-540,Wimbledon,Grass,128,25420
1976-580,Australian Open,Grass,64,25178
1976-520,Roland Garros,Clay,128,25297
1977-520,Roland Garros,Clay,128,25298
1977-540,Wimbledon,Grass,128,25421
1977-580,Australian Open,Grass,64,25179
1977-560,US Open,Clay,128,25339
1977-581,Australian Open-2,Grass,64,
1978-520,Roland Garros,Clay,128,25299
1978-540,Wimbledon,Grass,128,25422
1978-560,US Open,Hard,128,25340
1978-580,Australian Open,Grass,64,25180
1979-580,Australian Open,Grass,64,25181
1979-540,Wimbledon,Grass,128,25423
1979-560,US Open,Hard,128,25341
1979-520,Roland Garros,Clay,128,25300
1980-560,US Open,Hard,128,25342
1980-520,Roland Garros,Clay,128,25301
1980-580,Australian Open,Grass,64,25182
1980-540,Wimbledon,Grass,128,25424
1981-560,US Open,Hard,128,25343
1981-580,Australian Open,Grass,64,25183
1981-540,Wimbledon,Grass,128,25425
1981-520,Roland Garros,Clay,128,25302
1982-540,Wimbledon,Grass,128,25426
1982-580,Australian Open,Grass,96,25184
1982-560,US Open,Hard,128,25344
1982-520,Roland Garros,Clay,128,25303
1983-560,US Open,Hard,128,25345
1983-520,Roland Garros,Clay,128,25304
1983-580,Australian Open,Grass,96,25185
1983-540,Wimbledon,Grass,128,25427
1984-540,Wimbledon,Grass,128,25428
1984-520,Roland Garros,Clay,128,25305
1984-580,Australian Open,Grass,96,25186
1984-560,US Open,Hard,128,25346
1985-540,Wimbledon,Grass,128,25429
