2001-807,Acapulco,Clay,32,A,20010226,1,102856,1,,Gustavo Kuerten,R,190,BRA,24.462696783,1,4365,102456,,,Felix Mantilla,R,180,ESP,26.4284736482,112,355,6-4 6-1,3,R32,75,9,1,48,31,26,10,8,4,4,4,3,58,24,16,16,9,3,7
2001-807,Acapulco,Clay,32,A,20010226,2,103397,,LL,Alexandre Simoni,R,188,BRA,21.6563997262,119,334,103294,,,Christophe Rochus,R,170,BEL,22.2012320329,86,472,6-3 6-0,3,R32,60,7,4,45,22,21,10,8,3,4,2,2,45,25,8,9,7,3,8
2001-807,Acapulco,Clay,32,A,20010226,3,103181,,,Jiri Vanek,R,185,CZE,22.8446269678,90,448,103060,,WC,Alejandro Hernandez,R,180,MEX,23.4058863792,214,177,6-3 7-6(4),3,R32,89,12,1,69,42,33,16,11,1,2,4,6,64,43,33,10,10,2,4
2001-807,Acapulco,Clay,32,A,20010226,4,101897,,WC,Fernando Meligeni,L,180,BRA,29.87816564,100,399,101532,7,,Francisco Clavet,L,183,ESP,32.3422313484,40,885,6-3 4-6 6-3,3,R32,122,7,4,93,55,40,20,14,8,10,2,3,86,60,36,15,14,8,12
2001-807,Acapulco,Clay,32,A,20010226,5,103292,4,,Gaston Gaudio,R,175,ARG,22.2176591376,29,1070,101675,,Q,Martin Rodriguez,R,178,ARG,31.1923340178,150,255,7-5 7-6(6),3,R32,101,4,2,72,41,31,24,12,2,2,8,2,76,41,35,18,12,0,1
2001-807,Acapulco,Clay,32,A,20010226,6,101962,,,Younes El Aynaoui,R,193,MAR,29.4592744695,50,790,103632,,Q,Luis Horna,R,180,PER,20.4517453799,136,289,6-4 6-4,3,R32,72,14,4,54,40,33,9,10,1,1,1,3,67,44,33,9,10,3,5
2001-807,Acapulco,Clay,32,A,20010226,7,103084,,Q,Guillermo Canas,R,185,ARG,23.2553045859,207,184,103176,,,David Sanchez,R,183,ESP,22.855578371,83,481,6-4 6-2,3,R32,68,3,1,42,29,23,10,9,0,1,0,3,56,34,20,9,9,2,6
2001-807,Acapulco,Clay,32,A,20010226,8,102271,8,,Hicham Arazi,L,175,MAR,27.356605065,43,850,102223,,,Karim Alami,R,185,MAR,27.7618069815,74,570,6-2 6-3,3,R32,73,1,0,63,46,32,12,9,4,4,1,1,47,22,15,10,8,2,5
2001-807,Acapulco,Clay,32,A,20010226,9,102610,5,,Albert Costa,R,180,ESP,25.6755646817,33,1005,102231,,,Alex Calatrava,R,190,ESP,27.704312115,44,841,6-4 7-6(4),3,R32,93,10,2,66,36,30,21,11,1,1,10,0,72,42,32,18,11,3,4
2001-807,Acapulco,Clay,32,A,20010226,10,101843,,,Sergi Bruguera,R,188,ESP,30.1136208077,79,524,102287,,,Albert Portas,R,188,ESP,27.2826830938,51,790,6-3 6-3,3,R32,68,4,5,62,32,27,16,9,4,4,7,3,46,22,18,11,9,3,6
2001-807,Acapulco,Clay,32,A,20010226,11,103252,,,Alberto Martin,R,175,ESP,22.5215605749,75,563,103454,,,Nicolas Massu,R,183,CHI,21.3826146475,69,606,6-3 6-3,3,R32,65,2,1,44,29,26,11,9,1,1,6,1,53,30,19,12,9,2,5
2001-807,Acapulco,Clay,32,A,20010226,12,102845,3,,Carlos Moya,R,190,ESP,24.501026694,25,1120,101735,,,Richard Fromberg,R,196,AUS,30.8336755647,102,387,6-4 6-4,3,R32,85,4,1,65,36,28,15,10,8,9,8,1,65,36,27,11,10,2,5
2001-807,Acapulco,Clay,32,A,20010226,13,103324,,,Arnaud Di Pasquale,R,185,FRA,22.0424366872,61,675,102950,6,,Fernando Vicente,R,180,ESP,23.9726214921,35,990,7-6(5) 6-1,3,R32,76,3,3,57,41,34,8,9,0,0,1,3,68,36,24,15,10,2,5
2001-807,Acapulco,Clay,32,A,20010226,14,102104,,Q,Christian Ruud,R,188,NOR,28.5092402464,146,274,103305,,,Daniel Elsner,R,183,GER,22.1464750171,93,418,6-3 6-3,3,R32,86,7,2,63,32,23,18,9,5,6,4,4,68,34,21,14,9,7,11
2001-807,Acapulco,Clay,32,A,20010226,15,103151,,,Mariano Zabaleta,R,183,ARG,22.9952087611,66,630,102153,,,German Puentes,R,173,ESP,28.1916495551,92,426,7-6(3) 6-4,3,R32,97,6,4,63,37,30,14,11,2,4,2,1,88,49,27,20,11,7,10
2001-807,Acapulco,Clay,32,A,20010226,16,102869,,WC,Galo Blanco,R,173,ESP,24.386036961,116,337,102644,2,,Franco Squillari,L,183,ARG,25.5167693361,18,1498,3-6 6-1 7-6(3),3,R32,108,9,1,83,43,32,25,14,5,8,6,6,79,47,35,16,14,1,5
2001-807,Acapulco,Clay,32,A,20010226,17,102856,1,,Gustavo Kuerten,R,190,BRA,24.462696783,1,4365,103397,,LL,Alexandre Simoni,R,188,BRA,21.6563997262,119,334,6-4 6-0,3,R16,68,7,3,48,19,19,16,8,0,0,6,2,50,23,16,7,8,5,9
