1968-422,Cincinnati,Clay,16,26113
1968-410,Monte Carlo,Clay,64,26213
1968-416,Rome,Clay,128,26311
1968-352,Paris Indoor,Carpet,64,26271
1969-352,Paris Indoor,Carpet,32,26272
1969-421,Montreal / Toronto,Clay,64,26250
1969-422,Cincinnati,Clay,96,26114
1969-410,Monte Carlo,Clay,64,26214
1969-416,Rome,Clay,128,26312
1970-410,Monte Carlo,Clay,64,26215
1970-416,Rome,Clay,32,26313
1970-352,Paris Indoor,Carpet,32,26273
1970-422,Cincinnati,Clay,64,26115
1970-421,Montreal / Toronto,Clay,32,26251
1971-410,Monte Carlo,Clay,32,26216
1971-416,Rome,Clay,64,26314
1971-352,Paris Indoor,Clay,32,26274
1971-422,Cincinnati,Clay,64,26116
1971-421,Montreal / Toronto,Clay,64,26252
1972-410,Monte Carlo,Clay,32,26217
1972-416,Rome,Clay,64,26315
1972-352,Paris Indoor,Hard,32,26275
1972-421,Montreal / Toronto,Clay,128,26253
1972-422,Cincinnati,Clay,64,26117
1973-421,Montreal / Toronto,Hard,64,26254
1973-422,Cincinnati,Clay,32,26118
1973-410,Monte Carlo,Clay,48,26218
1973-416,Rome,Clay,128,26316
1973-352,Paris Indoor,Hard,64,26276
1974-352,Paris Indoor,Hard,32,26277
1974-416,Rome,Clay,64,26317
1974-422,Cincinnati,Hard,32,26119
1974-421,Montreal / Toronto,Hard,64,26255
1975-416,Rome,Clay,64,26318
1975-352,Paris Indoor,Hard,32,26278
1975-422,Cincinnati,Hard,32,26120
1975-421,Montreal / Toronto,Hard,64,26256
1976-421,Montreal / Toronto,Hard,64,26257
1976-422,Cincinnati,Clay,64,26121
1976-352,Paris Indoor,Hard,32,26279
1976-416,Rome,Clay,64,26319
1977-416,Rome,Clay,64,26320
1977-421,Montreal / Toronto,Hard,64,26258
1977-422,Cincinnati,Clay,64,26122
1977-352,Paris Indoor,Hard,32,26280
1978-416,Rome,Clay,64,26321
1978-352,Paris Indoor,Hard,32,26281
1978-421,Montreal / Toronto,Clay,48,26259
1978-422,Cincinnati,Clay,64,26123
1979-422,Cincinnati,Hard,64,26124
1979-352,Paris Indoor,Hard,32,26282
1979-410,Monte Carlo,Clay,32,26219
1979-416,Rome,Clay,64,26322
1979-421,Montreal / Toronto,Hard,64,26260
1980-422,Cincinnati,Hard,64,26125
1980-421,Montreal / Toronto,Hard,64,26261
1980-410,Monte Carlo,Clay,32,26220
1980-416,Rome,Clay,64,26323
1980-352,Paris Indoor,Carpet,32,26283
1981-416,Rome,Clay,64,26324
1981-352,Paris Indoor,Hard,32,26284
1981-422,Cincinnati,Hard,64,26126
1981-421,Montreal / Toronto,Hard,64,26262
1982-352,Paris Indoor,Hard,32,26285
1982-421,Montreal / Toronto,Hard,64,26263
1982-422,Cincinnati,Hard,64,26127
1982-410,Monte Carlo,Clay,32,26221
1982-416,Rome,Clay,64,26325
1983-410,Monte Carlo,Clay,32,26222
1983-416,Rome,Clay,64,26326
1983-421,Montreal / Toronto,Hard,56,26264
1983-422,Cincinnati,Hard,64,26128
1984-422,Cincinnati,Hard,64,26129
1984-421,Montreal / Toronto,Hard,56,26265
1984-416,Rome,Clay,64,26327
1984-410,Monte Carlo,Clay,32,26223
1985-422,Cincinnati,Hard,64,26130
1985-421,Montreal / Toronto,Hard,56,26266
1985-416,Rome,Clay,64,26328
1985-410,Monte Carlo,Clay,48,26224
1986-421,Montreal / Toronto,Hard,56,26267
1986-422,Cincinnati,Hard,64,26131
1986-352,Paris Indoor,Carpet,32,26286
1986-416,Rome,Clay,64,26329
1986-410,Monte Carlo,Clay,48,26225
1987-404,Indian Wells,Hard,56,26156
1987-416,Rome,Clay,64,26330
1987-410,Monte Carlo,Clay,48,26226
1987-421,Montreal / Toronto,Hard,56,26268
1987-422,Cincinnati,Hard,64,26132
1987-352,Paris Indoor,Carpet,32,26287
1987-403,Key Biscayne,Hard,128,26180
1988-416,Rome,Clay,64,26331
1988-404,Indian Wells,Hard,56,26157
1988-403,Key Biscayne,Hard,128,26181
1988-352,Paris Indoor,Carpet,32,26288
1988-422,Cincinnati,Hard,64,26133
1988-421,Montreal / Toronto,Hard,56,26269
1988-410,Monte Carlo,Clay,48,26227
1989-352,Paris Indoor,Carpet,32,26289
1989-410,Monte Carlo,Clay,48,26228
1989-416,Rome,Clay,64,26332
1989-422,Cincinnati,Hard,64,26134
1989-403,Key Biscayne,Hard,128,26182
1989-404,Indian Wells,Hard,56,26158
1989-421,Montreal / Toronto,Hard,56,26270
1990-421,Canada Masters,Hard,56,26092
1990-422,Cincinnati Masters,Hard,56,26135
1990-352,Paris Masters,Carpet,48,26290
1990-403,Miami Masters,Hard,96,26192
1990-404,Indian Wells Masters,Hard,56,26159
1990-416,Rome Masters,Clay,64,26333
1990-410,Monte Carlo Masters,Clay,56,26229
1991-421,Canada Masters,Hard,56,26093
1991-422,Cincinnati Masters,Hard,56,26136
1991-352,Paris Masters,Carpet,48,26291
1991-416,Rome Masters,Clay,64,26334
1991-410,Monte Carlo Masters,Clay,56,26230
1991-404,Indian Wells Masters,Hard,56,26160
1991-403,Miami Masters,Hard,96,26193
1992-422,Cincinnati Masters,Hard,56,26137
1992-421,Canada Masters,Hard,56,26094
1992-404,Indian Wells Masters,Hard,56,26161
1992-403,Miami Masters,Hard,96,26194
1992-352,Paris Masters,Carpet,48,26292
1992-416,Rome Masters,Clay,64,26335
1992-410,Monte Carlo Masters,Clay,56,26231
1993-422,Cincinnati Masters,Hard,56,26138
1993-421,Canada Masters,Hard,56,26095
1993-416,Rome Masters,Clay,64,26336
1993-410,Monte Carlo Masters,Clay,56,26232
1993-352,Paris Masters,Carpet,48,26293
1993-403,Miami Masters,Hard,96,26195
1993-404,Indian Wells Masters,Hard,56,26162
1994-410,Monte Carlo Masters,Clay,64,26233
1994-416,Rome Masters,Clay,64,26337
1994-421,Canada Masters,Hard,56,26096
1994-422,Cincinnati Masters,Hard,56,26139
1994-352,Paris Masters,Carpet,48,26294
1994-404,Indian Wells Masters,Hard,56,26163
1994-403,Miami Masters,Hard,96,26196
1995-421,Canada Masters,Hard,56,26097
1995-422,Cincinnati Masters,Hard,56,26140
1995-410,Monte Carlo Masters,Clay,56,26234
1995-416,Rome Masters,Clay,64,26338
1995-352,Paris Masters,Carpet,48,26295
1995-403,Miami Masters,Hard,96,26197
1995-404,Indian Wells Masters,Hard,56,26164
1996-352,Paris Masters,Carpet,48,26296
1996-422,Cincinnati Masters,Hard,56,26141
1996-421,Canada Masters,Hard,56,26098
1996-410,Monte Carlo Masters,Clay,56,26235
1996-403,Miami Masters,Hard,96,26198
1996-416,Rome Masters,Clay,64,26339
1996-404,Indian Wells Masters,Hard,56,26165
1997-410,Monte Carlo Masters,Clay,56,26236
1997-416,Rome Masters,Clay,64,26340
1997-404,Indian Wells Masters,Hard,56,26166
1997-403,Miami Masters,Hard,96,26199
1997-352,Paris Masters,Carpet,48,26297
1997-422,Cincinnati Masters,Hard,56,26142
1997-421,Canada Masters,Hard,56,26099
1998-404,Indian Wells Masters,Hard,56,26167
1998-416,Rome Masters,Clay,64,26341
1998-410,Monte Carlo Masters,Clay,56,26237
1998-421,Canada Masters,Hard,56,26100
1998-422,Cincinnati Masters,Hard,56,26143
1998-352,Paris Masters,Carpet,48,26298
1998-403,Miami Masters,Hard,96,26200
1999-352,Paris Masters,Carpet,48,26299
1999-416,Rome Masters,Clay,64,26342
1999-410,Monte Carlo Masters,Clay,56,26238
1999-404,Indian Wells Masters,Hard,56,26168
1999-403,Miami Masters,Hard,96,26201
1999-421,Canada Masters,Hard,56,26101
1999-422,Cincinnati Masters,Hard,56,26144
2000-404,Indian Wells Masters,Hard,64,26169
2000-403,Miami Masters,Hard,96,26202
2000-422,Cincinnati Masters,Hard,64,26145
2000-421,Canada Masters,Hard,64,26102
2000-416,Rome Masters,Clay,64,26343
2000-410,Monte Carlo Masters,Clay,64,26239
2000-352,Paris Masters,Carpet,48,26300
2001-404,Indian Wells Masters,Hard,64,26170
2001-403,Miami Masters,Hard,96,26203
2001-352,Paris Masters,Carpet,48,26301
2001-416,Rome Masters,Clay,64,26344
2001-410,Monte Carlo Masters,Clay,64,26240
2001-422,Cincinnati Masters,Hard,64,26146
2001-421,Canada Masters,Hard,64,26103
2002-404,Indian Wells Masters,Hard,64,26171
2002-403,Miami Masters,Hard,96,26204
2002-1536,Madrid Masters,Hard,48,26183
2002-421,Canada Masters,Hard,64,26104
2002-422,Cincinnati Masters,Hard,64,26147
2002-352,Paris Masters,Carpet,48,26302
2002-416,Rome Masters,Clay,64,26345
2002-410,Monte Carlo Masters,Clay,64,26241
2003-416,Rome Masters,Clay,64,26346
2003-410,Monte Carlo Masters,Clay,64,26242
2003-422,Cincinnati Masters,Hard,64,26148
2003-352,Paris Masters,Carpet,48,26303
2003-1536,Madrid Masters,Hard,48,26184
2003-404,Indian Wells Masters,Hard,64,26172
2003-421,Canada Masters,Hard,64,26105
2003-403,Miami Masters,Hard,96,26205
2004-422,Cincinnati Masters,Hard,64,26149
2004-421,Canada Masters,Hard,64,26106
2004-410,Monte Carlo Masters,Clay,64,26243
2004-416,Rome Masters,Clay,64,26347
2004-1536,Madrid Masters,Hard,48,26185
2004-404,Indian Wells Masters,Hard,96,26173
2004-403,Miami Masters,Hard,96,26206
2004-352,Paris Masters,Carpet,48,26304
2005-416,Rome Masters,Clay,64,26348
2005-410,Monte Carlo Masters,Clay,64,26244
2005-1536,Madrid Masters,Hard,48,26186
2005-352,Paris Masters,Carpet,48,26305
2005-422,Cincinnati Masters,Hard,64,26150
2005-421,Canada Masters,Hard,64,26107
2005-403,Miami Masters,Hard,96,26207
2005-404,Indian Wells Masters,Hard,96,26174
2006-352,Paris Masters,Carpet,48,26306
2006-403,Miami Masters,Hard,96,26208
2006-404,Indian Wells Masters,Hard,96,26175
2006-1536,Madrid Masters,Hard,48,26187
2006-421,Canada Masters,Hard,64,26108
2006-422,Cincinnati Masters,Hard,64,26151
2006-410,Monte Carlo Masters,Clay,64,26245
2006-416,Rome Masters,Clay,64,26349
2007-1536,Madrid Masters,Hard,48,26188
2007-410,Monte Carlo Masters,Clay,56,26246
2007-416,Rome Masters,Clay,56,26350
2007-352,Paris Masters,Hard,48,26307
2007-421,Canada Masters,Hard,56,26109
2007-422,Cincinnati Masters,Hard,56,26152
2007-404,Indian Wells Masters,Hard,96,26176
2007-403,Miami Masters,Hard,96,26209
2008-1536,Madrid Masters,Hard,48,675
2008-422,Cincinnati Masters,Hard,56,26153
2008-421,Canada Masters,Hard,56,26110
2008-416,Rome Masters,Clay,56,26351
2008-410,Monte Carlo Masters,Clay,56,26247
2008-352,Paris Masters,Hard,48,685
2008-403,Miami Masters,Hard,96,26210
2008-404,Indian Wells Masters,Hard,96,26177
2009-403,Miami Masters,Hard,96,963
2009-410,Monte Carlo Masters,Clay,56,969
2009-404,Indian Wells Masters,Hard,96,961
2009-1536,Madrid Masters,Clay,56,981
