ATP World Tour Finals,,,,,
,,,,,
Masters Cup,male,2000-2008,ATP World Tour Finals,965,
Tour Finals,male,1991-1999,ATP World Tour Finals,965,
Masters,male,1970-1989,ATP World Tour Finals,965,
,,,,,
WTA Tour Championships,,,,,
,,,,,
WTA Tour Championships,female,1995-2008,WTA Finals Singapore,2701,
Virginia Slims Championships,female,1983-1994,WTA Finals Singapore,2701,
,,,,,
ATP World Tour Masters 1000,,,,,
,,,,,
Indian Wells,male,1987-1989,BNP Paribas Open,883,
Indian Wells Masters,male,1990-2010,BNP Paribas Open,883,
Key Biscayne,male,1987-1989,Miami Open ,885,
Miami Masters,male,1990-2010,Miami Open ,885,
Rome,male,1968-1989,Internazionali BNL d'Italia ,896,
Rome Masters,male,1990-2010,Internazionali BNL d'Italia ,896,
Monte Carlo,male,1968-1989,Monte Carlo Rolex Masters,891,
Monte Carlo Masters,male,1990-2010,Monte Carlo Rolex Masters,891,
Madrid Masters,male,2002-2010,Mutua Madrilena Madrid Open,657,
Montreal / Toronto,male,1969-1989,Rogers Cup,939,
Canada Masters,male,1990-2010,Rogers Cup,939,
Cincinnati,male,1968-1989,Western & Southern Open,941,
Cincinnati Masters,male,1990-2010,Western & Southern Open,941,
Paris Indoor,male,1968-1989,BNP Paribas Masters,661,Pause zwischen 1983-1985
Paris Masters,male,1990-2010,BNP Paribas Masters,661,
,,,,,
ATP World Tour 500,,,,,
,,,,,
Hamburg,male,1968-1989,German Tennis Championships,929,Ab 2009 wieder
Hamburg Masters,male,1990-2008,German Tennis Championships,929,
Halle,male,1993-2010,Gerry Weber Open,913,
,,,,,
Premier Mandatory,,,,,
,,,,,
Indian Wells,female,1989-2010,BNP Paribas Open,996,1991 nicht
Miami Masters,female,2000-2010,Miami Open ,998,
Key Biscayne,female,1985-1999,Miami Open ,998,
Madrid,female,2009-2010,Mutua Madrilena Madrid Open,1013,
Beijing,female,1994-2010,China Open,665,Pause zwischen 1997-2003
Shanghai,female,2000-2003,China Open,665,
,,,,,
Premier 5,,,,,
,,,,,
Dubai Open,female,2001-2010,Dubai Duty Free Championships,986,
Rome,female,1987-2009,Internazionali BNL d'Italia ,1009,"1990 fehlt, 78-79 auch dabei"
Perugia,female,1980-1986,Internazionali BNL d'Italia ,1009,1985 fehlt
Canadian Open,female,1978-2010,Rogers Cup,1049,
Cincinnati,female,2004-2010,Western & Southern Open,1047,1980-1982 + 1988 auch dabei
,,,,,
Premier,,,,,
,,,,,
Stuttgart,female,2006-2010,Porsche Tennis Grand Prix,667,1978 auch dabei
Filderstadt,female,1979-2005,Porsche Tennis Grand Prix,667,
